typeID,groupID,typeName,volume,capacity,portionSize,,,,,
240,86,Microwave S,1.00,0.00,1,,,,,
241,86,Infrared S,1.00,0.00,1,,,,,
242,86,Standard S,1.00,0.00,1,,,,,
243,86,Ultraviolet S,1.00,0.00,1,,,,,
244,86,Xray S,1.00,0.00,1,,,,,
245,86,Gamma S,1.00,0.00,1,,,,,
246,86,Multifrequency S,1.00,0.00,1,,,,,
247,86,Radio M,1.00,0.00,1,,,,,
248,86,Microwave M,1.00,0.00,1,,,,,
249,86,Infrared M,1.00,0.00,1,,,,,
250,86,Standard M,1.00,0.00,1,,,,,
251,86,Ultraviolet M,1.00,0.00,1,,,,,
252,86,Xray M,1.00,0.00,1,,,,,
253,86,Gamma M,1.00,0.00,1,,,,,
254,86,Multifrequency M,1.00,0.00,1,,,,,
255,86,Radio L,1.00,0.00,1,,,,,
256,86,Microwave L,1.00,0.00,1,,,,,
257,86,Infrared L,1.00,0.00,1,,,,,
258,86,Standard L,1.00,0.00,1,,,,,
259,86,Ultraviolet L,1.00,0.00,1,,,,,
260,86,Xray L,1.00,0.00,1,,,,,
261,86,Gamma L,1.00,0.00,1,,,,,
262,86,Multifrequency L,1.00,0.00,1,,,,,
263,87,Cap Booster 25,1.00,100.00,10,,,,,
264,87,Cap Booster 50,2.00,100.00,10,,,,,
265,1158,Heavy Defender Missile I,0.03,0.00,100,,,,,
266,387,Scourge Rocket,0.01,0.00,100,,,,,
267,89,Scourge Torpedo,0.05,0.00,100,,,,,
269,394,Mjolnir Auto-Targeting Light Missile I,0.02,0.00,100,,,,,
270,92,Python Mine,0.15,0.00,10,,,,,
377,38,Small Shield Extender I,5.00,0.00,1,,,,,
380,38,Small Shield Extender II,5.00,0.00,1,,,,,
393,39,Shield Recharger I,5.00,1.00,1,,,,,
394,39,Shield Recharger II,5.00,1.00,1,,,,,
399,40,Small Shield Booster I,5.00,0.00,1,,,,,
400,40,Small Shield Booster II,5.00,0.00,1,,,,,
405,41,Micro Remote Shield Booster,2.50,0.00,1,,,,,
406,41,Micro Remote Shield Booster II,2.50,0.00,1,,,,,
421,43,Basic Capacitor Recharger,5.00,0.00,1,,,,,
434,46,5MN Microwarpdrive I,10.00,0.00,1,,,,,
438,46,1MN Afterburner II,5.00,0.00,1,,,,,
439,46,1MN Afterburner I,5.00,0.00,1,,,,,
440,46,5MN Microwarpdrive II,10.00,0.00,1,,,,,
442,47,Cargo Scanner I,5.00,0.00,1,,,,,
443,48,Ship Scanner I,5.00,0.00,1,,,,,
444,49,Survey Scanner I,5.00,0.00,1,,,,,
447,52,Warp Scrambler I,5.00,0.00,1,,,,,
448,52,Warp Scrambler II,5.00,0.00,1,,,,,
450,53,Gatling Pulse Laser I,5.00,1.00,1,,,,,
451,53,Dual Light Pulse Laser I,5.00,1.00,1,,,,,
452,53,Dual Light Beam Laser I,5.00,1.00,1,,,,,
453,53,Small Focused Pulse Laser I,5.00,1.00,1,,,,,
454,53,Small Focused Beam Laser I,5.00,1.00,1,,,,,
455,53,Quad Light Beam Laser I,10.00,1.00,1,,,,,
456,53,Focused Medium Pulse Laser I,10.00,1.00,1,,,,,
457,53,Focused Medium Beam Laser I,10.00,1.00,1,,,,,
458,53,Heavy Pulse Laser I,25.00,1.00,1,,,,,
459,53,Heavy Beam Laser I,25.00,1.00,1,,,,,
460,53,Dual Heavy Pulse Laser I,20.00,1.00,1,,,,,
461,53,Dual Heavy Beam Laser I,50.00,1.00,1,,,,,
462,53,Mega Pulse Laser I,50.00,1.00,1,,,,,
463,53,Mega Beam Laser I,50.00,1.00,1,,,,,
464,53,Tachyon Beam Laser I,50.00,1.00,1,,,,,
482,54,Miner II,5.00,0.00,1,,,,,
483,54,Miner I,5.00,0.00,1,,,,,
484,55,125mm Gatling AutoCannon I,5.00,0.50,1,,,,,
485,55,150mm Light AutoCannon I,5.00,0.40,1,,,,,
486,55,200mm AutoCannon I,5.00,0.30,1,,,,,
487,55,250mm Light Artillery Cannon I,5.00,0.10,1,,,,,
488,55,280mm Howitzer Artillery I,5.00,0.05,1,,,,,
489,55,Dual 180mm AutoCannon I,10.00,2.50,1,,,,,
490,55,220mm Vulcan AutoCannon I,10.00,2.00,1,,,,,
491,55,425mm AutoCannon I,10.00,1.50,1,,,,,
492,55,650mm Artillery Cannon I,25.00,0.50,1,,,,,
493,55,720mm Howitzer Artillery I,25.00,0.25,1,,,,,
494,55,Dual 425mm AutoCannon I,20.00,5.00,1,,,,,
495,55,Dual 650mm Repeating Cannon I,50.00,4.00,1,,,,,
496,55,800mm Repeating Cannon I,25.00,3.00,1,,,,,
497,55,1200mm Artillery Cannon I,50.00,1.00,1,,,,,
498,55,1400mm Howitzer Artillery I,50.00,0.50,1,,,,,
499,509,Light Missile Launcher I,5.00,0.60,1,,,,,
501,510,Heavy Missile Launcher I,10.00,0.90,1,,,,,
503,508,Torpedo Launcher I,20.00,1.50,1,,,,,
506,767,Basic Capacitor Power Relay,5.00,0.00,1,,,,,
508,770,Basic Shield Flux Coil,5.00,0.00,1,,,,,
509,768,Basic Capacitor Flux Coil,5.00,0.00,1,,,,,
518,59,Basic Gyrostabilizer,5.00,0.00,1,,,,,
519,59,Gyrostabilizer II,5.00,0.00,1,,,,,
520,59,Gyrostabilizer I,5.00,0.00,1,,,,,
521,60,Basic Damage Control,5.00,0.00,1,,,,,
522,61,Micro Cap Battery,2.50,0.00,1,,,,,
523,62,Small Armor Repairer I,5.00,0.00,1,,,,,
524,63,Small Hull Repairer I,12.50,0.00,1,,,,,
526,65,Stasis Webifier I,5.00,0.00,1,,,,,
527,65,Stasis Webifier II,5.00,0.00,1,,,,,
529,67,Small Remote Capacitor Transmitter I,25.00,0.00,1,,,,,
530,68,Small Energy Nosferatu I,5.00,0.00,1,,,,,
533,71,Small Energy Neutralizer I,5.00,0.00,1,,,,,
561,74,75mm Gatling Rail I,5.00,0.50,1,,,,,
562,74,Light Electron Blaster I,5.00,0.50,1,,,,,
563,74,Light Ion Blaster I,5.00,0.30,1,,,,,
564,74,Light Neutron Blaster I,5.00,0.20,1,,,,,
565,74,150mm Railgun I,5.00,0.10,1,,,,,
566,74,Heavy Electron Blaster I,10.00,2.50,1,,,,,
567,74,Dual 150mm Railgun I,10.00,2.00,1,,,,,
568,74,Heavy Neutron Blaster I,25.00,1.00,1,,,,,
569,74,Heavy Ion Blaster I,10.00,1.50,1,,,,,
570,74,250mm Railgun I,25.00,0.50,1,,,,,
571,74,Electron Blaster Cannon I,50.00,5.00,1,,,,,
572,74,Dual 250mm Railgun I,20.00,4.00,1,,,,,
573,74,Neutron Blaster Cannon I,50.00,2.00,1,,,,,
574,74,425mm Railgun I,50.00,1.00,1,,,,,
575,74,Ion Blaster Cannon I,50.00,3.00,1,,,,,
577,76,Medium Capacitor Booster I,10.00,32.00,1,,,,,
578,77,Adaptive Invulnerability Field I,20.00,0.00,1,,,,,
580,80,Burst Jammer I,5.00,0.00,1,,,,,
581,82,Passive Targeter I,25.00,0.00,1,,,,,
582,25,Bantam,20000.00,270.00,1,,,,,
583,25,Condor,18000.00,130.00,1,,,,,
584,25,Griffin,19400.00,260.00,1,,,,,
585,25,Slasher,17400.00,120.00,1,,,,,
586,25,Probe,19500.00,400.00,1,,,,,
587,25,Rifter,27289.00,140.00,1,,,,,
588,237,Reaper,15800.00,120.00,1,,,,,
589,25,Executioner,28100.00,115.00,1,,,,,
590,25,Inquisitor,28700.00,250.00,1,,,,,
591,25,Tormentor,24398.00,130.00,1,,,,,
592,25,Navitas,10000.00,280.00,1,,,,,
593,25,Tristan,26500.00,140.00,1,,,,,
594,25,Incursus,29500.00,165.00,1,,,,,
595,25,Gallente Police Ship,20400.00,200.00,1,,,,,
596,237,Impairor,28100.00,115.00,1,,,,,
597,25,Punisher,28600.00,135.00,1,,,,,
598,25,Breacher,20000.00,175.00,1,,,,,
599,25,Burst,17100.00,260.00,1,,,,,
600,25,Minmatar Peacekeeper Ship,12000.00,80.00,1,,,,,
601,237,Ibis,15000.00,125.00,1,,,,,
602,25,Kestrel,19700.00,160.00,1,,,,,
603,25,Merlin,16500.00,150.00,1,,,,,
605,25,Heron,18900.00,400.00,1,,,,,
606,237,Velator,24500.00,135.00,1,,,,,
607,25,Imicus,21500.00,400.00,1,,,,,
608,25,Atron,22500.00,145.00,1,,,,,
609,25,Maulus,23000.00,275.00,1,,,,,
613,25,Devourer,19100.00,110.00,1,,,,,
614,25,Fury,26000.00,180.00,1,,,,,
615,237,Immolator,17400.00,115.00,1,,,,,
616,25,Medusa,17500.00,30.00,1,,,,,
617,237,Echo,17660.00,120.00,1,,,,,
618,25,Lynx,22500.00,200.00,1,,,,,
619,25,Swordspine,21120.00,220.00,1,,,,,
620,26,Osprey,107000.00,485.00,1,,,,,
621,26,Caracal,92000.00,450.00,1,,,,,
622,26,Stabber,80000.00,420.00,1,,,,,
623,26,Moa,101000.00,450.00,1,,,,,
624,26,Maller,118000.00,480.00,1,,,,,
625,26,Augoror,115000.00,465.00,1,,,,,
626,26,Vexor,115000.00,480.00,1,,,,,
627,26,Thorax,112000.00,465.00,1,,,,,
628,26,Arbitrator,120000.00,345.00,1,,,,,
629,26,Rupture,96000.00,450.00,1,,,,,
630,26,Bellicose,85000.00,315.00,1,,,,,
631,26,Scythe,89000.00,475.00,1,,,,,
632,26,Blackbird,96000.00,305.00,1,,,,,
633,26,Celestis,116000.00,320.00,1,,,,,
634,26,Exequror,113000.00,495.00,1,,,,,
635,26,Opux Luxury Yacht,115000.00,1750.00,1,,,,,
638,27,Raven,486000.00,665.00,1,,,,,
639,27,Tempest,450000.00,600.00,1,,,,,
640,27,Scorpion,468000.00,550.00,1,,,,,
641,27,Megathron,486000.00,675.00,1,,,,,
642,27,Apocalypse,495000.00,675.00,1,,,,,
643,27,Armageddon,486000.00,600.00,1,,,,,
644,27,Typhoon,414000.00,625.00,1,,,,,
645,27,Dominix,454500.00,600.00,1,,,,,
648,28,Badger,250000.00,3900.00,1,,,,,
649,28,Tayra,270000.00,7300.00,1,,,,,
650,28,Nereus,240000.00,2700.00,1,,,,,
651,28,Hoarder,400000.00,500.00,1,,,,,
652,28,Mammoth,255000.00,5500.00,1,,,,,
653,28,Wreathe,225000.00,2900.00,1,,,,,
654,28,Kryos,245000.00,550.00,1,,,,,
655,28,Epithal,250000.00,550.00,1,,,,,
656,28,Miasmos,265000.00,550.00,1,,,,,
657,28,Iteron Mark V,275000.00,5800.00,1,,,,,
670,29,Capsule,1000.00,0.00,1,,,,,
671,30,Erebus,145500000.00,16250.00,1,,,,,
672,31,Caldari Shuttle,5000.00,10.00,1,,,,,
681,104,Clone Grade Beta Blueprint,0.01,0.00,1,,,,,
682,104,Clone Grade Gamma Blueprint,0.01,0.00,1,,,,,
683,105,Bantam Blueprint,0.01,0.00,1,,,,,
684,105,Condor Blueprint,0.01,0.00,1,,,,,
685,105,Griffin Blueprint,0.01,0.00,1,,,,,
686,106,Osprey Blueprint,0.01,0.00,1,,,,,
687,106,Caracal Blueprint,0.01,0.00,1,,,,,
688,107,Raven Blueprint,0.01,0.00,1,,,,,
689,105,Slasher Blueprint,0.01,0.00,1,,,,,
690,105,Probe Blueprint,0.01,0.00,1,,,,,
691,105,Rifter Blueprint,0.01,0.00,1,,,,,
692,106,Stabber Blueprint,0.01,0.00,1,,,,,
693,107,Tempest Blueprint,0.01,0.00,1,,,,,
784,134,Miner II Blueprint,0.01,0.00,1,,,,,
785,134,Miner I Blueprint,0.01,0.00,1,,,,,
786,136,Light Missile Launcher I Blueprint,0.01,0.00,1,,,,,
788,136,Heavy Missile Launcher I Blueprint,0.01,0.00,1,,,,,
790,136,Torpedo Launcher I Blueprint,0.01,0.00,1,,,,,
803,166,Mjolnir Cruise Missile Blueprint,0.01,0.00,1,,,,,
804,166,Scourge Cruise Missile Blueprint,0.01,0.00,1,,,,,
805,166,Inferno Cruise Missile Blueprint,0.01,0.00,1,,,,,
806,166,Nova Cruise Missile Blueprint,0.01,0.00,1,,,,,
807,166,Nova Heavy Missile Blueprint,0.01,0.00,1,,,,,
808,166,Mjolnir Heavy Missile Blueprint,0.01,0.00,1,,,,,
809,166,Inferno Heavy Missile Blueprint,0.01,0.00,1,,,,,
810,166,Scourge Heavy Missile Blueprint,0.01,0.00,1,,,,,
811,166,Scourge Light Missile Blueprint,0.01,0.00,1,,,,,
812,166,Inferno Light Missile Blueprint,0.01,0.00,1,,,,,
813,166,Mjolnir Light Missile Blueprint,0.01,0.00,1,,,,,
814,166,Nova Light Missile Blueprint,0.01,0.00,1,,,,,
819,135,125mm Gatling AutoCannon I Blueprint,0.01,0.00,1,,,,,
820,135,150mm Light AutoCannon I Blueprint,0.01,0.00,1,,,,,
821,135,200mm AutoCannon I Blueprint,0.01,0.00,1,,,,,
822,135,250mm Light Artillery Cannon I Blueprint,0.01,0.00,1,,,,,
823,135,280mm Howitzer Artillery I Blueprint,0.01,0.00,1,,,,,
824,135,Dual 180mm AutoCannon I Blueprint,0.01,0.00,1,,,,,
825,135,220mm Vulcan AutoCannon I Blueprint,0.01,0.00,1,,,,,
826,135,425mm AutoCannon I Blueprint,0.01,0.00,1,,,,,
827,135,650mm Artillery Cannon I Blueprint,0.01,0.00,1,,,,,
828,135,720mm Howitzer Artillery I Blueprint,0.01,0.00,1,,,,,
829,135,Dual 425mm AutoCannon I Blueprint,0.01,0.00,1,,,,,
830,135,Dual 650mm Repeating Cannon I Blueprint,0.01,0.00,1,,,,,
831,135,800mm Repeating Cannon I Blueprint,0.01,0.00,1,,,,,
832,135,1200mm Artillery Cannon I Blueprint,0.01,0.00,1,,,,,
833,135,1400mm Howitzer Artillery I Blueprint,0.01,0.00,1,,,,,
834,133,Gatling Pulse Laser I Blueprint,0.01,0.00,1,,,,,
835,133,Dual Light Pulse Laser I Blueprint,0.01,0.00,1,,,,,
836,133,Dual Light Beam Laser I Blueprint,0.01,0.00,1,,,,,
837,133,Small Focused Pulse Laser I Blueprint,0.01,0.00,1,,,,,
838,133,Small Focused Beam Laser I Blueprint,0.01,0.00,1,,,,,
839,133,Quad Light Beam Laser I Blueprint,0.01,0.00,1,,,,,
840,133,Focused Medium Pulse Laser I Blueprint,0.01,0.00,1,,,,,
841,133,Focused Medium Beam Laser I Blueprint,0.01,0.00,1,,,,,
842,133,Heavy Pulse Laser I Blueprint,0.01,0.00,1,,,,,
843,133,Heavy Beam Laser I Blueprint,0.01,0.00,1,,,,,
844,133,Dual Heavy Pulse Laser I Blueprint,0.01,0.00,1,,,,,
845,133,Dual Heavy Beam Laser I Blueprint,0.01,0.00,1,,,,,
846,133,Mega Pulse Laser I Blueprint,0.01,0.00,1,,,,,
847,133,Mega Beam Laser I Blueprint,0.01,0.00,1,,,,,
848,133,Tachyon Beam Laser I Blueprint,0.01,0.00,1,,,,,
879,165,Carbonized Lead S Blueprint,0.01,0.00,1,,,,,
880,165,Nuclear S Blueprint,0.01,0.00,1,,,,,
881,165,Proton S Blueprint,0.01,0.00,1,,,,,
882,165,Depleted Uranium S Blueprint,0.01,0.00,1,,,,,
883,165,Titanium Sabot S Blueprint,0.01,0.00,1,,,,,
884,165,Fusion S Blueprint,0.01,0.00,1,,,,,
885,165,Phased Plasma S Blueprint,0.01,0.00,1,,,,,
886,165,EMP S Blueprint,0.01,0.00,1,,,,,
887,165,Carbonized Lead M Blueprint,0.01,0.00,1,,,,,
888,165,Nuclear M Blueprint,0.01,0.00,1,,,,,
889,165,Proton M Blueprint,0.01,0.00,1,,,,,
890,165,Depleted Uranium M Blueprint,0.01,0.00,1,,,,,
891,165,Titanium Sabot M Blueprint,0.01,0.00,1,,,,,
892,165,Fusion M Blueprint,0.01,0.00,1,,,,,
893,165,Phased Plasma M Blueprint,0.01,0.00,1,,,,,
894,165,EMP M Blueprint,0.01,0.00,1,,,,,
895,165,Carbonized Lead L Blueprint,0.01,0.00,1,,,,,
896,165,Nuclear L Blueprint,0.01,0.00,1,,,,,
897,165,Proton L Blueprint,0.01,0.00,1,,,,,
898,165,Depleted Uranium L Blueprint,0.01,0.00,1,,,,,
899,165,Titanium Sabot L Blueprint,0.01,0.00,1,,,,,
900,165,Fusion L Blueprint,0.01,0.00,1,,,,,
901,165,Phased Plasma L Blueprint,0.01,0.00,1,,,,,
902,165,EMP L Blueprint,0.01,0.00,1,,,,,
935,105,Reaper Blueprint,0.01,0.00,1,,,,,
936,105,Executioner Blueprint,0.01,0.00,1,,,,,
937,105,Inquisitor Blueprint,0.01,0.00,1,,,,,
938,105,Tormentor Blueprint,0.01,0.00,1,,,,,
939,105,Navitas Blueprint,0.01,0.00,1,,,,,
940,105,Tristan Blueprint,0.01,0.00,1,,,,,
941,105,Incursus Blueprint,0.01,0.00,1,,,,,
943,105,Impairor Blueprint,0.01,0.00,1,,,,,
944,105,Punisher Blueprint,0.01,0.00,1,,,,,
945,105,Breacher Blueprint,0.01,0.00,1,,,,,
946,105,Burst Blueprint,0.01,0.00,1,,,,,
947,105,Minmatar Peacekeeper Ship Blueprint,0.01,0.00,1,,,,,
948,105,Ibis Blueprint,0.01,0.00,1,,,,,
949,105,Kestrel Blueprint,0.01,0.00,1,,,,,
950,105,Merlin Blueprint,0.01,0.00,1,,,,,
952,105,Heron Blueprint,0.01,0.00,1,,,,,
953,105,Velator Blueprint,0.01,0.00,1,,,,,
954,105,Imicus Blueprint,0.01,0.00,1,,,,,
955,105,Atron Blueprint,0.01,0.00,1,,,,,
956,105,Maulus Blueprint,0.01,0.00,1,,,,,
960,105,Devourer Blueprint,0.01,0.00,1,,,,,
961,105,Fury Blueprint,0.01,0.00,1,,,,,
962,105,Immolator Blueprint,0.01,0.00,1,,,,,
963,105,Medusa Blueprint,0.01,0.00,1,,,,,
964,105,Echo Blueprint,0.01,0.00,1,,,,,
965,105,Lynx Blueprint,0.01,0.00,1,,,,,
966,105,Swordspine Blueprint,0.01,0.00,1,,,,,
967,111,Caldari Shuttle Blueprint,0.01,0.00,1,,,,,
968,106,Moa Blueprint,0.01,0.00,1,,,,,
969,106,Maller Blueprint,0.01,0.00,1,,,,,
970,106,Augoror Blueprint,0.01,0.00,1,,,,,
971,106,Vexor Blueprint,0.01,0.00,1,,,,,
972,106,Thorax Blueprint,0.01,0.00,1,,,,,
973,106,Arbitrator Blueprint,0.01,0.00,1,,,,,
974,106,Rupture Blueprint,0.01,0.00,1,,,,,
975,106,Bellicose Blueprint,0.01,0.00,1,,,,,
976,106,Scythe Blueprint,0.01,0.00,1,,,,,
977,106,Blackbird Blueprint,0.01,0.00,1,,,,,
978,106,Celestis Blueprint,0.01,0.00,1,,,,,
979,106,Exequror Blueprint,0.01,0.00,1,,,,,
983,108,Badger Blueprint,0.01,0.00,1,,,,,
984,108,Tayra Blueprint,0.01,0.00,1,,,,,
985,108,Nereus Blueprint,0.01,0.00,1,,,,,
986,108,Hoarder Blueprint,0.01,0.00,1,,,,,
987,108,Mammoth Blueprint,0.01,0.00,1,,,,,
988,108,Wreathe Blueprint,0.01,0.00,1,,,,,
989,108,Kryos Blueprint,0.01,0.00,1,,,,,
990,108,Epithal Blueprint,0.01,0.00,1,,,,,
991,108,Miasmos Blueprint,0.01,0.00,1,,,,,
992,108,Iteron Mark V Blueprint,0.01,0.00,1,,,,,
994,107,Scorpion Blueprint,0.01,0.00,1,,,,,
995,107,Megathron Blueprint,0.01,0.00,1,,,,,
996,107,Apocalypse Blueprint,0.01,0.00,1,,,,,
997,107,Armageddon Blueprint,0.01,0.00,1,,,,,
998,107,Typhoon Blueprint,0.01,0.00,1,,,,,
999,107,Dominix Blueprint,0.01,0.00,1,,,,,
1002,110,Erebus Blueprint,0.01,0.00,1,,,,,
1010,118,Small Shield Extender I Blueprint,0.01,0.00,1,,,,,
1013,118,Small Shield Extender II Blueprint,0.01,0.00,1,,,,,
1026,119,Shield Recharger I Blueprint,0.01,0.00,1,,,,,
1027,119,Shield Recharger II Blueprint,0.01,0.00,1,,,,,
1032,120,Small Shield Booster I Blueprint,0.01,0.00,1,,,,,
1033,120,Small Shield Booster II Blueprint,0.01,0.00,1,,,,,
1067,126,5MN Microwarpdrive I Blueprint,0.01,0.00,1,,,,,
1071,126,1MN Afterburner II Blueprint,0.01,0.00,1,,,,,
1072,126,1MN Afterburner I Blueprint,0.01,0.00,1,,,,,
1073,126,5MN Microwarpdrive II Blueprint,0.01,0.00,1,,,,,
1074,127,Cargo Scanner I Blueprint,0.01,0.00,1,,,,,
1075,128,Ship Scanner I Blueprint,0.01,0.00,1,,,,,
1076,129,Survey Scanner I Blueprint,0.01,0.00,1,,,,,
1079,132,Warp Scrambler I Blueprint,0.01,0.00,1,,,,,
1080,132,Warp Scrambler II Blueprint,0.01,0.00,1,,,,,
1095,139,Gyrostabilizer II Blueprint,0.01,0.00,1,,,,,
1096,139,Gyrostabilizer I Blueprint,0.01,0.00,1,,,,,
1099,142,Small Armor Repairer I Blueprint,0.01,0.00,1,,,,,
1100,143,Small Hull Repairer I Blueprint,0.01,0.00,1,,,,,
1102,145,Stasis Webifier I Blueprint,0.01,0.00,1,,,,,
1103,145,Stasis Webifier II Blueprint,0.01,0.00,1,,,,,
1105,147,Small Remote Capacitor Transmitter I Blueprint,0.01,0.00,1,,,,,
1106,148,Small Energy Nosferatu I Blueprint,0.01,0.00,1,,,,,
1109,151,Small Energy Neutralizer I Blueprint,0.01,0.00,1,,,,,
